open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2025-04-01 00:00:00,82517.5,83213.0,82383.3,82929.9,15244.22,2025-04-01 03:59:59.999,1261911400.5386,338675,7262.915,601272017.6999
2025-04-01 04:00:00,82930.0,83565.0,82846.1,83415.2,15232.027,2025-04-01 07:59:59.999,1267532310.6271,283322,7634.571,635291094.2098
2025-04-01 08:00:00,83415.2,84474.8,83401.0,83879.9,35987.638,2025-04-01 11:59:59.999,3025919132.0498,546571,17991.251,1512433502.5884
2025-04-01 12:00:00,83880.0,85475.0,82505.0,85245.4,81146.631,2025-04-01 15:59:59.999,6813331095.3014,1190784,41350.675,3472358925.7985
2025-04-01 16:00:00,85245.5,85452.5,84666.3,84911.7,31993.203,2025-04-01 19:59:59.999,2720191352.0526,543225,16051.188,1364853967.531
2025-04-01 20:00:00,84911.6,85595.5,84715.7,85120.9,17659.457,2025-04-01 23:59:59.999,1503945093.2241,302407,9694.419,825639233.3773
2025-04-02 00:00:00,85121.0,85217.9,84479.2,84509.5,19256.193,2025-04-02 03:59:59.999,1633687752.5786,367709,8972.403,761285498.2023
2025-04-02 04:00:00,84509.5,84695.0,83846.0,84389.8,24222.399,2025-04-02 07:59:59.999,2040246021.3227,383144,11969.799,1008349196.5757
2025-04-02 08:00:00,84389.7,85425.0,84220.0,84528.4,30044.064,2025-04-02 11:59:59.999,2549837656.811,457568,15043.434,1276845811.3652
2025-04-02 12:00:00,84528.3,87288.0,84424.1,86709.5,101403.902,2025-04-02 15:59:59.999,8715428051.7097,1509258,51739.172,4446678628.8632
2025-04-02 16:00:00,86709.5,87255.0,86142.0,86854.2,42796.162,2025-04-02 19:59:59.999,3710228868.7779,859892,21915.841,1900028714.2992
2025-04-02 20:00:00,86854.2,88500.0,82300.0,82485.1,131241.658,2025-04-02 23:59:59.999,11183324340.9705,2122953,65409.267,5570335387.8318
2025-04-03 00:00:00,82485.1,83889.2,82137.3,83449.0,43538.786,2025-04-03 03:59:59.999,3623559087.3985,706086,21475.085,1787303443.9286
2025-04-03 04:00:00,83449.2,83707.9,82962.1,83423.7,18012.198,2025-04-03 07:59:59.999,1500539543.8025,377045,9134.97,761030261.7342
2025-04-03 08:00:00,83423.7,83774.1,83008.4,83058.1,25845.247,2025-04-03 11:59:59.999,2156232432.6061,447293,13229.799,1103745634.7119
2025-04-03 12:00:00,83058.0,83112.0,81172.2,82001.8,92135.552,2025-04-03 15:59:59.999,7560977587.2737,1428632,45520.609,3735155331.4772
2025-04-03 16:00:00,82001.7,82463.7,81504.8,81977.4,35332.973,2025-04-03 19:59:59.999,2896951707.9745,703158,18021.818,1477912140.4533
2025-04-03 20:00:00,81977.4,83298.0,81754.9,83181.5,24298.763,2025-04-03 23:59:59.999,2007347259.6008,404295,13676.729,1130540294.5832
2025-04-04 00:00:00,83181.7,83376.0,82553.8,82787.9,23066.562,2025-04-04 03:59:59.999,1914000888.7235,421887,9728.076,807342597.5588
2025-04-04 04:00:00,82787.9,83987.0,82569.9,83968.2,24342.362,2025-04-04 07:59:59.999,2027985765.1212,393701,13063.78,1088622464.9726
2025-04-04 08:00:00,83968.1,84686.2,81624.6,82633.7,90960.907,2025-04-04 11:59:59.999,7573578219.9469,1308666,44269.637,3684355171.0383
2025-04-04 12:00:00,82633.7,83682.9,81796.6,82822.0,128058.822,2025-04-04 15:59:59.999,10605463177.0024,1897600,64829.436,5369281586.4503
2025-04-04 16:00:00,82821.9,84580.0,82700.0,83971.9,67073.197,2025-04-04 19:59:59.999,5616555834.1841,1149199,33660.016,2817528206.9183
2025-04-04 20:00:00,83969.3,84422.9,83449.7,83861.3,19607.356,2025-04-04 23:59:59.999,1646262017.2899,324080,9641.307,809622147.224
2025-04-05 00:00:00,83861.4,84244.5,83323.7,83585.7,17023.772,2025-04-05 03:59:59.999,1427093416.5931,281100,8023.14,672839248.2115
2025-04-05 04:00:00,83585.6,83832.1,83300.5,83490.0,10620.814,2025-04-05 07:59:59.999,887463698.8975,188920,5428.238,453632014.1555
2025-04-05 08:00:00,83490.0,83866.3,83326.2,83428.4,11518.556,2025-04-05 11:59:59.999,962928309.4131,204189,5457.841,456346141.7438
2025-04-05 12:00:00,83428.3,83516.8,82333.8,82576.4,33111.923,2025-04-05 15:59:59.999,2742962761.024,510410,14702.978,1217890225.8183
2025-04-05 16:00:00,82576.5,83108.8,82561.8,82818.7,12394.7,2025-04-05 19:59:59.999,1026746404.7045,225188,6553.781,542950050.7128
2025-04-05 20:00:00,82818.7,83674.9,82781.5,83506.1,14904.439,2025-04-05 23:59:59.999,1240156964.8214,263224,8998.834,749032700.1886
2025-04-06 00:00:00,83506.1,83790.5,83100.0,83301.7,13707.665,2025-04-06 03:59:59.999,1143520075.6248,232347,5958.554,497167748.2615
2025-04-06 04:00:00,83301.7,83496.9,82980.0,82990.9,10928.376,2025-04-06 07:59:59.999,909468886.1692,186585,5220.445,434509654.3473
2025-04-06 08:00:00,82990.9,83143.9,82625.0,82810.1,16830.905,2025-04-06 11:59:59.999,1394338372.0086,271477,8889.769,736526977.0191
2025-04-06 12:00:00,82810.1,82944.0,82155.4,82497.4,29601.982,2025-04-06 15:59:59.999,2443254534.152,462435,14187.605,1171157964.7437
2025-04-06 16:00:00,82497.4,82524.9,78635.0,79572.6,108788.065,2025-04-06 19:59:59.999,8737271193.6893,1577613,50512.504,4055635317.3323
2025-04-06 20:00:00,79572.6,79858.7,77111.0,78390.0,101334.76,2025-04-06 23:59:59.999,7955078380.1471,1728201,51084.646,4011304182.828
2025-04-07 00:00:00,78390.1,79311.5,77311.0,77669.6,69452.679,2025-04-07 03:59:59.999,5435303925.4026,1242611,35104.865,2747243877.3313
2025-04-07 04:00:00,77669.5,77950.0,74457.0,75084.1,120677.337,2025-04-07 07:59:59.999,9164574963.2344,1955626,57660.479,4379894540.8604
2025-04-07 08:00:00,75084.1,77550.6,75051.7,76655.9,91159.234,2025-04-07 11:59:59.999,6973955553.9445,1402335,45099.195,3450325663.2251
2025-04-07 12:00:00,76656.0,81200.0,75761.5,78444.6,284460.151,2025-04-07 15:59:59.999,22287968503.7991,3829163,142666.243,11179577606.1131
2025-04-07 16:00:00,78444.6,79347.1,77262.6,78086.3,91535.93,2025-04-07 19:59:59.999,7175970039.1885,1486255,46609.685,3654687490.5483
2025-04-07 20:00:00,78093.7,80184.7,78060.0,79140.0,36558.172,2025-04-07 23:59:59.999,2899327483.4799,605248,18923.438,1500239132.7338
2025-04-08 00:00:00,79140.1,80832.1,78726.5,79869.2,44433.57,2025-04-08 03:59:59.999,3552339870.8623,776430,22575.042,1805001906.9131
2025-04-08 04:00:00,79869.3,80383.4,79177.0,79448.6,25868.771,2025-04-08 07:59:59.999,2060727626.5028,502337,12434.347,990593818.2142
2025-04-08 08:00:00,79448.5,80049.8,78788.0,79949.7,33896.193,2025-04-08 11:59:59.999,2685960133.3769,584221,17665.055,1399997315.5506
2025-04-08 12:00:00,79949.7,80359.5,78136.0,78460.0,92487.008,2025-04-08 15:59:59.999,7341737735.5505,1366469,44430.073,3526592181.808
2025-04-08 16:00:00,78459.9,78500.0,76311.0,76830.0,100174.783,2025-04-08 19:59:59.999,7736883571.466,1534816,50467.596,3898256096.3416
2025-04-08 20:00:00,76832.0,77259.9,76200.1,76297.9,31549.209,2025-04-08 23:59:59.999,2418931973.7621,592996,16584.202,1271635974.2231
2025-04-09 00:00:00,76298.0,76834.6,74578.5,75040.0,79097.57,2025-04-09 03:59:59.999,5990999234.9914,1363758,37664.332,2853592029.9352
2025-04-09 04:00:00,75039.9,77906.6,74952.0,77651.4,75116.64,2025-04-09 07:59:59.999,5766267386.453,1214539,37867.727,2905725805.6936
2025-04-09 08:00:00,77651.3,77833.8,75735.9,76204.1,72634.361,2025-04-09 11:59:59.999,5570800893.2498,1082561,34397.481,2638190678.5216
2025-04-09 12:00:00,76204.1,78288.8,75988.0,77237.6,98020.43,2025-04-09 15:59:59.999,7565442546.8579,1591939,49958.446,3856043550.5316
2025-04-09 16:00:00,77237.5,82967.4,77104.0,82291.4,183836.453,2025-04-09 19:59:59.999,14871820550.0675,2714885,93597.921,7567163563.3335
2025-04-09 20:00:00,82291.4,83554.9,81980.1,82588.0,51944.408,2025-04-09 23:59:59.999,4306992272.4779,831492,25574.464,2120832462.1362
2025-04-10 00:00:00,82587.9,82706.9,81424.3,81731.8,34510.348,2025-04-10 03:59:59.999,2833866263.9669,608065,15814.559,1298553177.0292
2025-04-10 04:00:00,81731.9,82315.4,81241.1,81561.6,28212.148,2025-04-10 07:59:59.999,2309052060.0822,503686,14201.982,1162649628.8072
2025-04-10 08:00:00,81561.5,82083.3,81300.9,81839.2,27826.27,2025-04-10 11:59:59.999,2273947536.9415,521195,14617.855,1194669499.892
2025-04-10 12:00:00,81839.1,82488.0,78559.0,78731.7,115295.495,2025-04-10 15:59:59.999,9305594881.203,1754045,55912.829,4515839179.1645
2025-04-10 16:00:00,78731.7,80011.8,78416.0,79611.1,67707.74,2025-04-10 19:59:59.999,5362497183.2442,1253611,34452.204,2728788437.8436
2025-04-10 20:00:00,79611.1,79999.9,79335.2,79560.2,20110.099,2025-04-10 23:59:59.999,1602511559.3921,348629,9666.056,770343587.7762
2025-04-11 00:00:00,79560.3,80855.0,78935.5,80796.9,41672.942,2025-04-11 03:59:59.999,3334367172.2316,699377,21099.573,1689007234.8918
2025-04-11 04:00:00,80796.9,81388.0,80460.0,81213.6,30258.33,2025-04-11 07:59:59.999,2449113059.9211,506851,14971.44,1212258143.9536
2025-04-11 08:00:00,81213.7,82944.3,80691.3,82096.6,68755.993,2025-04-11 11:59:59.999,5635362211.3093,988525,35799.208,2933534149.5829
2025-04-11 12:00:00,82096.5,83297.9,81305.0,82486.7,79925.014,2025-04-11 15:59:59.999,6575684849.5404,1323352,40425.266,3326394714.8621
