open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-04-01 00:00:00,82550.0,83256.8,82432.74,82962.84,2015.98624,2025-04-01 03:59:59.999999,166985571.9501127,409277,1094.68944,90685468.5014382
2025-04-01 04:00:00,82962.84,83597.07,82886.87,83445.5,1822.06805,2025-04-01 07:59:59.999999,151710653.0374665,276284,825.43502,68728903.3347517
2025-04-01 08:00:00,83445.5,84504.74,83410.0,83930.3,4005.56934,2025-04-01 11:59:59.999999,336915781.8719222,484844,1888.36087,158859197.4568278
2025-04-01 12:00:00,83930.31,85499.55,82544.0,85280.87,6895.46482,2025-04-01 15:59:59.999999,579282887.9430327,1165509,3549.66305,298172561.0256524
2025-04-01 16:00:00,85280.88,85493.0,84720.0,84972.01,3624.09611,2025-04-01 19:59:59.999999,308320894.0779312,648205,1883.42872,160238561.8097089
2025-04-01 20:00:00,84972.0,85579.46,84773.58,85158.34,1827.21241,2025-04-01 23:59:59.999999,155679913.6950028,344574,1004.84938,85618080.3047073
2025-04-02 00:00:00,85158.35,85255.95,84504.21,84550.0,2397.00391,2025-04-02 03:59:59.999999,203493680.31102607,395674,1200.42204,101920887.6134071
2025-04-02 04:00:00,84550.0,84726.42,83904.72,84426.33,2284.55226,2025-04-02 07:59:59.999999,192549506.70671752,377975,1092.63605,92093755.6666777
2025-04-02 08:00:00,84426.32,85450.0,84262.73,84566.91,2502.47319,2025-04-02 11:59:59.999999,212447010.26963672,426721,1232.01701,104588681.6693528
2025-04-02 12:00:00,84566.91,87333.0,84462.69,86757.67,11182.5669,2025-04-02 15:59:59.999999,963030203.2294884,1485656,6116.90461,526709484.2909144
2025-04-02 16:00:00,86757.67,87333.0,86186.19,86900.02,6072.59633,2025-04-02 19:59:59.999999,527080900.936012,940915,3389.9806,294354455.9650106
2025-04-02 20:00:00,86900.01,88500.0,82320.0,82516.29,15492.26441,2025-04-02 23:59:59.999999,1318678458.3778827,1711297,7707.71778,658068318.6353853
